-rsb-|compound|start_entity -rsb-|compound|end_entity	1
effects|nmod|start_entity effects|appos|end_entity	2
mutations|amod|start_entity mutations|compound|end_entity	2
start_entity|nmod|gene gene|compound|end_entity	2
study|nmod|start_entity study|appos|end_entity	2
trial|nmod|start_entity trial|appos|end_entity	2
inhibitor|dobj|start_entity inhibitor|nsubj|effects effects|nmod|end_entity	3
start_entity|appos|inhibitor inhibitor|appos|end_entity	3
inhibitor|xcomp|start_entity inhibitor|nsubj|effects effects|nmod|end_entity	3
inhibitor|xcomp|start_entity inhibitor|nsubj|effect effect|nmod|end_entity	3
start_entity|nsubj|inhibitor inhibitor|compound|end_entity	3
inhibition|nmod|start_entity inhibition|nsubj|effects effects|nmod|end_entity	3
start_entity|dep|inhibitor inhibitor|nmod|end_entity	3
study|nmod|start_entity study|appos|inhibitor inhibitor|compound|end_entity	3
inhibition|nmod|start_entity inhibition|nummod|end_entity	3
start_entity|appos|antagonist antagonist|compound|end_entity	3
start_entity|appos|receptor receptor|compound|end_entity	3
inhibitor|advmod|start_entity inhibitor|nsubj|end_entity	3
effects|appos|start_entity effects|nmod|inhibitor inhibitor|compound|end_entity	3
inhibition|nmod|start_entity inhibition|compound|end_entity	3
inhibitor|dobj|start_entity inhibitor|nsubj|effect effect|nmod|end_entity	3
inhibitor|dep|start_entity inhibitor|compound|end_entity	3
start_entity|nsubj|effects effects|nmod|inhibitor inhibitor|compound|end_entity	3
start_entity|nsubj|effect effect|nmod|inhibitor inhibitor|compound|end_entity	3
start_entity|dep|inhibitor inhibitor|compound|end_entity	3
start_entity|appos|inhibitor inhibitor|compound|end_entity	3
inhibitor|appos|start_entity inhibitor|compound|end_entity	3
effects|nmod|start_entity effects|appos|inhibitor inhibitor|nmod|end_entity	3
start_entity|dep|inhibitor inhibitor|amod|end_entity	3
inhibitor|dep|start_entity inhibitor|amod|end_entity	3
start_entity|appos|inhibitor inhibitor|nmod|end_entity	3
inhibitor|appos|start_entity inhibitor|amod|end_entity	3
start_entity|appos|inhibitor inhibitor|amod|end_entity	3
effect|nmod|start_entity effect|appos|inhibitor inhibitor|amod|end_entity	3
inhibitor|appos|start_entity inhibitor|nmod|end_entity	3
inhibition|nmod|start_entity inhibition|nmod|activity activity|amod|end_entity	3
start_entity|nsubj|effects effects|nmod|inhibitor inhibitor|amod|end_entity	3
start_entity|nsubj|effect effect|nmod|inhibitor inhibitor|amod|end_entity	3
inhibition|nmod|start_entity inhibition|amod|end_entity	3
inhibition|nmod|start_entity inhibition|nsubj|end_entity	3
start_entity|dep|inhibition inhibition|amod|end_entity	3
inhibitor|appos|start_entity inhibitor|appos|end_entity	3
start_entity|dobj|activity activity|compound|end_entity	4
combination|nmod|start_entity end_entity|nmod|combination	5
study|nmod|start_entity study|nmod|end_entity	5
trial|nmod|start_entity trial|nmod|end_entity	5
start_entity|nmod|cells cells|compound|end_entity	5
start_entity|nmod|activity activity|compound|end_entity	5
treatment|amod|start_entity end_entity|nmod|treatment	5
start_entity|nmod|inhibition inhibition|compound|end_entity	5
-rsb-|compound|start_entity end_entity|nmod|-rsb-	5
start_entity|nmod|release release|compound|end_entity	5
effect|nmod|start_entity effect|nmod|activity activity|compound|end_entity	5
activity|nmod|start_entity activity|compound|end_entity	5
effects|nmod|start_entity effects|nmod|activity activity|compound|end_entity	5
activation|compound|start_entity activation|nmod|end_entity	6+
start_entity|nmod|protein protein|compound|end_entity	6
effect|nmod|start_entity mediates|dobj|effect mediates|nsubj|end_entity	6
activation|nmod|start_entity activation|nmod|end_entity	6+
receptors|compound|start_entity receptors|nmod|end_entity	6
effects|nmod|start_entity end_entity|nmod|effects	6
modulates|nsubj|start_entity modulates|dobj|expression expression|compound|end_entity	6
expression|compound|start_entity expression|nmod|end_entity	6
antagonist|dobj|start_entity antagonist|nsubj|effects effects|nmod|receptor receptor|compound|end_entity	6-
antagonist|appos|start_entity antagonist|compound|end_entity	6-
start_entity|nsubj|effects effects|nmod|antagonist antagonist|amod|end_entity	6-
blocker|appos|start_entity blocker|amod|end_entity	6-
start_entity|appos|antagonist antagonist|amod|end_entity	6-
start_entity|appos|antagonist antagonist|nmod|end_entity	6-
antagonist|appos|start_entity antagonist|amod|end_entity	6-
enhances|nsubj|start_entity enhances|nmod|end_entity	6
start_entity|nmod|inhibitors inhibitors|compound|end_entity	6-
induces|nsubj|start_entity induces|nmod|end_entity	6+
start_entity|nmod|receptors receptors|compound|end_entity	6
acts|nsubj|start_entity acts|nmod|end_entity	6
start_entity|appos|agonist agonist|compound|end_entity	6+
agonist|appos|start_entity agonist|compound|end_entity	6+
start_entity|appos|activator activator|amod|end_entity	6+
start_entity|nsubj|effects effects|nmod|agonist agonist|amod|end_entity	6+
start_entity|appos|ligand ligand|amod|end_entity	6
start_entity|appos|agonist agonist|nmod|end_entity	6+
start_entity|appos|ligand ligand|nmod|end_entity	6
agonist|appos|start_entity agonist|amod|end_entity	6+
start_entity|appos|agonist agonist|amod|end_entity	6+
site|compound|start_entity site|nmod|end_entity	7
species|compound|start_entity species|nmod|end_entity	7
